SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
519421,KSE LIMITED ,XT,Q,1200.00,1249.75,1190.00,1190.80,1190.00,1220.00,33,244,293275.00,
519457,VIRAT CRANE ,X ,Q,27.85,27.85,26.50,26.50,26.55,24.05,3,56,1498.00,
519475,CHORDIA FOOD,X ,Q,159.90,159.90,147.50,147.85,150.00,153.00,14,562,84109.00,
519491,OCEAN AGRO  ,X ,Q,19.15,19.15,19.15,19.15,19.15,19.25,3,470,9000.00,
519494,N K INDUST. ,T ,Q,35.70,35.70,35.70,35.70,35.70,35.70,2,31,1106.00,
519500,BKV INDUSTRS,XT,Q,2.60,2.60,2.60,2.60,2.60,2.73,1,5,13.00,
519552,HERITGFOOD  ,A ,Q,400.35,402.30,396.25,401.25,401.05,401.15,28,311,124412.00,
519560,NEHA INTER. ,X ,Q,1.56,1.62,1.49,1.62,1.62,1.56,6,2202,3418.00,
519566,SIMRAN FARMS,X ,Q,51.85,51.85,50.00,50.20,50.00,50.65,18,615,31218.00,
519588,DFM FOODS   ,B ,Q,229.25,235.15,224.45,225.05,225.05,229.15,28,340,77819.00,
519600,CCL PRODUCTS,A ,Q,248.75,248.75,236.20,238.45,239.00,245.35,289,2754,661803.00,
519602,KELLTONTEC  ,B ,Q,26.55,26.55,24.55,24.75,24.60,25.25,141,8804,219974.00,
519612,MAHAAN FOODS,X ,Q,14.45,14.50,14.45,14.50,14.50,15.20,5,400,5790.00,
520008,RICO AUTO   ,B ,Q,55.95,56.00,54.00,55.10,54.90,56.30,520,45262,2489575.00,
520021,OMAX AUTOS. ,B ,Q,48.30,50.55,48.30,49.80,49.80,48.60,19,437,21840.00,
520043,MUNJAL SHOWA,B ,Q,144.65,147.95,144.65,146.20,146.20,146.00,24,1670,244521.00,
520051,JAMNA AUTO  ,A ,Q,50.20,50.60,49.40,49.60,49.60,50.20,342,42618,2123396.00,
520056,SUNDAR.CLAY ,A ,Q,2300.00,2345.00,2255.55,2297.20,2297.20,2313.45,20,86,195631.00,
520057,JTEKTINDIA  ,B ,Q,90.20,93.00,89.00,90.75,90.75,90.70,85,5963,539420.00,
520059,MUNAUTO     ,B ,Q,39.35,40.05,39.15,39.90,39.90,40.10,66,7259,287290.00,
520066,JAYBH.MARUTI,B ,Q,190.00,193.00,187.00,190.55,188.55,192.35,85,1364,258997.00,
520073,RACLGEAR    ,X ,Q,72.70,73.00,70.60,71.50,71.15,71.55,29,7244,515704.00,
520075,SAMKRG PIST.,X ,Q,126.00,129.05,125.00,125.60,125.10,125.85,27,613,77400.00,
520086,SICAL LOG   ,B ,Q,94.25,99.00,90.05,95.45,99.00,97.20,19,275,26072.00,
520111,RATNAMNI MET,B ,Q,982.55,982.55,972.35,974.25,974.25,990.55,14,1011,987917.00,
520113,VESUVIUS IND,B ,Q,1123.00,1123.00,1098.50,1101.60,1121.90,1082.00,30,34,37560.00,
520119,AUTOMOTIVE S,B ,Q,42.65,42.65,42.60,42.60,42.60,42.25,2,50,2130.00,
520121,ARCEE INDUST,XT,Q,2.40,2.52,2.40,2.52,2.52,2.52,5,1360,3276.00,
520123,ABC INDIA   ,X ,Q,54.00,60.00,54.00,55.10,54.50,59.90,15,318,17547.00,
520141,SIBAR AUTO  ,XT,Q,18.48,18.48,16.72,16.72,16.72,17.60,2,100,1673.00,
520151,SHREY SH LOG,B ,Q,138.50,138.50,136.50,138.00,138.00,138.00,30,1012,139913.00,
521016,INDO COUNT  ,B ,Q,31.15,31.60,30.85,31.00,31.10,31.50,56,14838,462660.00,
521018,MARAL OVERS ,B ,Q,19.10,19.25,19.00,19.25,19.25,20.10,27,1789,34041.00,
521034,SOMA TEXTILE,B ,Q,2.87,2.87,2.87,2.87,2.87,2.74,1,500,1435.00,
521062,OCTAVE      ,XT,Q,1.99,1.99,1.93,1.99,1.99,1.96,12,5082,9987.00,
521064,TRIDENT     ,A ,Q,60.00,60.10,59.00,59.45,59.30,60.00,428,58345,3462847.00,
521070,ALOK INDS.  ,B ,Q,3.30,3.35,3.20,3.26,3.25,3.28,267,595419,1950784.00,
521080,PASARI SPIN ,XT,Q,2.80,2.80,2.80,2.80,2.80,2.85,1,1,2.00,
521097,AMARJOTHI SP,X ,Q,74.00,75.35,73.00,73.95,73.95,74.35,23,1320,97738.00,
521109,NAGREEKA EXP,B ,Q,17.50,18.95,17.50,18.95,18.95,18.00,8,557,9765.00,
521113,SUDITI IND. ,X ,Q,21.20,25.50,21.20,22.80,22.80,24.65,21,1043,23641.00,
521131,SBFL        ,X ,Q,4.44,4.44,4.44,4.44,4.44,4.67,1,50,222.00,
521141,ADITYA SPIN.,XT,Q,3.85,3.85,3.85,3.85,3.85,3.85,5,280,1078.00,
521151,DHANLXMI FAB,X ,Q,21.45,23.65,21.45,23.65,23.65,22.55,3,41,881.00,
521167,FRONT BUSS  ,XT,Q,4.49,4.49,4.49,4.49,4.49,4.72,1,16000,71840.00,
521176,GANGOTRI TEX,Z ,Q,1.20,1.20,1.20,1.20,1.20,1.15,4,2103,2523.00,
521180,SUPER SPIN. ,B ,Q,5.00,5.20,4.86,5.20,5.20,5.25,6,2275,11275.00,
521194,SIL INVEST  ,B ,Q,171.00,174.00,170.00,171.15,171.15,170.95,10,90,15375.00,
521200,SURYLAK.COTT,B ,Q,23.50,26.95,23.50,24.00,24.00,24.35,19,1365,33959.00,
521206,SAMTEX FASH.,XT,Q,0.60,0.61,0.60,0.60,0.60,0.61,10,4120,2490.00,
521216,DHAN ROTO SP,X ,Q,24.80,24.80,24.80,24.80,24.80,24.80,1,6,148.00,
521220,DAMOINDUS   ,B ,Q,32.00,33.40,32.00,32.90,32.90,32.00,4,11904,391785.00,
521226,UNI ROYAL IN,X ,Q,10.30,10.50,10.30,10.50,10.50,10.60,5,74,767.00,
521228,TATIA GLOB  ,X ,Q,0.26,0.27,0.26,0.27,0.27,0.26,3,572,154.00,
521248,KITEX GARMEN,B ,Q,97.15,98.25,96.35,96.35,96.35,96.30,27,1600,155683.00,
522004,BATLIBOI LTD,X ,Q,13.74,13.75,13.69,13.75,13.75,13.11,12,1578,21683.00,
522005,AUSTIN ENGG.,X ,Q,49.30,49.30,47.00,47.25,47.50,49.95,17,2287,108556.00,
522014,UNITED DRILL,X ,Q,85.00,88.45,83.10,83.10,83.10,85.25,7,112,9478.00,
522017,FLUIDOMAT   ,X ,Q,96.55,102.00,96.55,98.30,96.70,97.70,30,507,49807.00,
522029,WINDSOR MACH,B ,Q,20.90,21.00,19.70,20.10,20.10,20.30,104,10987,223682.00,
522034,SHANTHI GEAR,B ,Q,112.65,116.10,110.30,111.90,111.20,113.40,42,1352,151430.00,
522064,HONDA SIEL  ,B ,Q,904.80,927.85,902.35,914.75,902.35,903.80,11,15,13593.00,
522073,HITECHGEAR  ,B ,Q,213.00,218.50,208.00,214.55,208.00,224.05,21,851,182525.00,
522074,ELGI EQUIP  ,A ,Q,265.00,265.00,258.00,258.50,258.50,261.50,67,12317,3199794.00,
522101,KILBURN ENGG,X ,Q,26.65,29.90,23.50,26.70,26.70,26.65,66,2574,64323.00,
522105,BIRLA PRETEC,X ,Q,8.84,8.84,8.84,8.84,8.84,9.02,67,11621,102729.00,
522108,YUKEN INDIA ,X ,Q,620.00,629.00,600.00,611.90,629.00,617.20,198,1602,978871.00,
522113,TIMKEN (I)  ,B ,Q,697.65,719.40,697.65,716.80,715.00,693.85,273,2974,2116020.00,
522122,VOITH PAPER ,X ,Q,796.00,796.95,782.00,787.90,796.95,784.00,20,299,236477.00,
522134,ARTSON ENG  ,X ,Q,45.45,45.90,41.00,44.10,44.10,44.65,83,7369,317483.00,
522152,SOLITAIR MC ,X ,Q,28.45,28.45,28.30,28.30,28.30,28.30,3,500,14180.00,
522165,INDSIL HYD  ,X ,Q,33.50,34.20,32.05,32.75,33.95,34.00,75,33737,1143812.00,
522183,ITL INDUSTRS,X ,Q,136.00,138.00,135.00,138.00,138.00,136.05,13,601,82051.00,
522195,FRONTIER SPR,X ,Q,203.10,214.70,203.10,208.55,208.05,214.90,32,1163,242872.00,
522205,PRAJ IND.LTD,B ,Q,128.50,131.05,122.05,128.50,128.50,128.00,1171,112144,14431818.00,
522207,RASANDIK ENG,X ,Q,87.95,87.95,77.00,77.25,77.25,84.35,10,370,28781.00,
522209,YOGI SUNGWON,X ,Q,1.79,1.79,1.79,1.79,1.79,1.71,1,80,143.00,
522215,SWISS GLASS ,X ,Q,166.60,179.55,165.00,175.00,175.00,172.55,12,192,33408.00,
522217,GUJ APOIND  ,B ,Q,145.00,147.00,143.05,144.00,144.00,145.35,37,900,131211.00,
522229,TANEJA AERO.,X ,Q,28.00,29.00,26.95,27.35,26.95,27.60,83,12824,351983.00,
522231,CONART ENG. ,X ,Q,30.55,30.55,27.20,27.95,28.45,28.50,24,1446,39798.00,
522241,M.M.FORGINGS,B ,Q,451.00,459.90,451.00,452.15,451.20,460.80,22,204,92495.00,
522249,MAYUR UNIQ. ,B ,Q,269.90,278.00,268.00,268.70,268.00,271.25,49,1150,313602.00,
522251,CENLUB INDUS,X ,Q,77.00,77.00,73.50,76.50,76.95,76.50,7,304,22958.00,
522257,RAJOO ENGIN.,X ,Q,14.05,14.70,14.00,14.65,14.50,14.45,96,15627,225275.00,
522261,DOLPHIN OFF.,B ,Q,28.10,29.90,28.10,29.45,29.45,29.15,216,30247,886288.00,
522263,JMC PROJECTS,B ,Q,128.00,131.00,127.25,129.35,127.25,130.40,57,2259,292341.00,
522267,VEEJAY LAKSH,X ,Q,29.00,32.00,29.00,31.90,31.90,30.50,7,761,23239.00,
522275,GET&D       ,A ,Q,227.50,235.00,222.35,233.15,233.15,228.05,187,5281,1201858.00,
522281,RAM RAT.WIRE,X ,Q,84.00,86.00,82.00,84.90,84.90,84.05,21,2280,189633.00,
522285,JAY NECO IND,B ,Q,5.14,5.16,4.73,5.14,5.16,4.92,115,71935,358742.00,
522287,KALPA.POWER ,A ,Q,482.20,488.90,480.00,486.15,480.00,490.15,381,5235,2541982.00,
522294,T & I GLOBAL,X ,Q,69.55,72.20,69.50,72.20,72.20,69.15,5,2129,148065.00,
